method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
greedy,1,10,,False,True,True,0.0008399486541748047,1.0,1.0,1.0,1.0,0.32374999999999987,0.484,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q70-U120-R:P2', 'P2'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q70-U39-R:', 'P2'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q50-U41-R:', 'P2'), ('T7-Q65-U39-R:', 'P2'), ('T8-Q1-U16-R:P1', 'P1')]"
greedy,2,10,,False,True,True,0.0011610984802246094,1.0,1.0,1.0,1.0,0.3655555555555556,0.244,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q70-U120-R:P2', 'P2'), ('T3-Q70-U120-R:P2', 'P2'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q70-U39-R:', 'P2'), ('T6-Q1-U1-R:', 'P2'), ('T7-Q50-U41-R:', 'P2'), ('T8-Q65-U39-R:', 'P2'), ('T9-Q1-U16-R:P1', 'P1')]"
greedy,3,10,,False,True,True,0.0015189647674560547,1.0,1.0,1.0,1.0,0.289,0.172,"[('T1-Q1-U1-R:P2', 'P2'), ('T10-Q1-U16-R:P1', 'P1'), ('T2-Q70-U120-R:P2', 'P2'), ('T3-Q40-U80-R:P2', 'P2'), ('T4-Q70-U120-R:P2', 'P2'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q20-U17-R:', 'P2'), ('T7-Q1-U1-R:', 'P2'), ('T8-Q20-U19-R:', 'P2'), ('T9-Q65-U39-R:', 'P2')]"
greedy,4,10,,False,True,True,0.0034880638122558594,1.0,1.0,1.0,1.0,0.3192857142857143,0.3416666666666667,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q70-U39-R:', 'P3'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q50-U41-R:', 'P3'), ('T13-Q65-U39-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T2-Q70-U120-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q70-U39-R:', 'P3'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q50-U41-R:', 'P3'), ('T7-Q65-U39-R:', 'P3'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
greedy,5,10,,False,True,True,0.004228115081787109,1.0,1.0,1.0,1.0,0.18466666666666667,0.29833333333333334,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U1-R:', 'P3'), ('T11-Q20-U17-R:', 'P3'), ('T12-Q1-U1-R:', 'P3'), ('T13-Q20-U19-R:', 'P3'), ('T14-Q10-U25-R:', 'P3'), ('T15-Q1-U16-R:P2', 'P2'), ('T2-Q70-U120-R:P3', 'P3'), ('T3-Q70-U120-R:P3', 'P3'), ('T4-Q1-U1-R:', 'P3'), ('T5-Q20-U17-R:', 'P3'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q50-U41-R:', 'P3'), ('T8-Q10-U25-R:', 'P3'), ('T9-Q1-U16-R:P1', 'P1')]"
greedy,6,10,,False,True,True,0.004940986633300781,1.0,1.0,1.0,1.0,0.160625,0.29833333333333334,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q20-U17-R:', 'P3'), ('T13-Q1-U1-R:', 'P3'), ('T14-Q20-U19-R:', 'P3'), ('T15-Q10-U25-R:', 'P3'), ('T16-Q1-U16-R:P2', 'P2'), ('T2-Q40-U80-R:P3', 'P3'), ('T3-Q40-U80-R:P3', 'P3'), ('T4-Q40-U80-R:P3', 'P3'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q20-U17-R:', 'P3'), ('T7-Q1-U1-R:', 'P3'), ('T8-Q50-U41-R:', 'P3'), ('T9-Q10-U25-R:', 'P3')]"
greedy,7,10,,False,True,True,0.009824991226196289,1.0,1.0,1.0,1.0,0.185,0.3628571428571429,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P4'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q50-U41-R:', 'P4'), ('T13-Q10-U25-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q20-U17-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q50-U41-R:', 'P4'), ('T19-Q10-U25-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P4'), ('T4-Q70-U39-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q10-U25-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
greedy,8,10,,False,True,True,0.010763883590698242,1.0,1.0,1.0,1.0,0.1285714285714285,0.3742857142857143,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P4'), ('T11-Q20-U17-R:', 'P4'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q20-U19-R:', 'P4'), ('T14-Q10-U25-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P4'), ('T17-Q20-U17-R:', 'P4'), ('T18-Q1-U1-R:', 'P4'), ('T19-Q20-U19-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q10-U25-R:', 'P4'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P4'), ('T5-Q20-U17-R:', 'P4'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q20-U19-R:', 'P4'), ('T8-Q10-U25-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
greedy,9,10,,False,True,True,0.012418985366821289,1.0,1.0,1.0,1.0,0.17272727272727265,0.2542857142857143,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q20-U17-R:', 'P4'), ('T13-Q1-U1-R:', 'P4'), ('T14-Q20-U19-R:', 'P4'), ('T15-Q10-U25-R:', 'P4'), ('T16-Q1-U16-R:P2', 'P2'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q70-U39-R:', 'P2'), ('T19-Q1-U1-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q20-U19-R:', 'P4'), ('T21-Q10-U25-R:', 'P4'), ('T22-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q70-U39-R:', 'P2'), ('T7-Q1-U1-R:', 'P4'), ('T8-Q20-U19-R:', 'P4'), ('T9-Q10-U25-R:', 'P4')]"
greedy,10,10,,False,True,True,0.014925003051757812,1.0,1.0,1.0,1.0,0.18260869565217383,0.14,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q10-U25-R:', 'P4'), ('T11-Q1-U16-R:P1', 'P1'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q20-U17-R:', 'P2'), ('T14-Q1-U1-R:', 'P4'), ('T15-Q20-U19-R:', 'P2'), ('T16-Q10-U25-R:', 'P4'), ('T17-Q1-U16-R:P2', 'P2'), ('T18-Q1-U1-R:', 'P2'), ('T19-Q70-U39-R:', 'P3'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U1-R:', 'P4'), ('T21-Q20-U19-R:', 'P2'), ('T22-Q10-U25-R:', 'P4'), ('T23-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q40-U80-R:P4', 'P4'), ('T6-Q1-U1-R:', 'P2'), ('T7-Q70-U39-R:', 'P3'), ('T8-Q1-U1-R:', 'P4'), ('T9-Q20-U19-R:', 'P2')]"
