method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
local,1,1,1442 ,False,True,True,1.0000579357147217,1.0,1.0,1.0,1.0,0.4674999999999999,0.372,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q70-U120-R:P2', 'P2'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P2'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q100-U66-R:', 'P2'), ('T7-Q100-U50-R:', 'P2'), ('T8-Q1-U16-R:P1', 'P1')]"
local,2,1,1442 ,False,True,True,1.0000438690185547,1.0,1.0,1.0,1.0,0.4933333333333333,0.052,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q40-U80-R:P2', 'P2'), ('T3-Q100-U200-R:P2', 'P2'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q100-U59-R:', 'P1'), ('T6-Q1-U1-R:', 'P2'), ('T7-Q100-U66-R:', 'P2'), ('T8-Q100-U50-R:', 'P2'), ('T9-Q1-U16-R:P1', 'P1')]"
local,3,1,1442 ,False,True,True,1.0000410079956055,1.0,1.0,1.0,1.0,0.4539999999999999,0.052,"[('T1-Q1-U1-R:P2', 'P2'), ('T10-Q1-U16-R:P1', 'P1'), ('T2-Q40-U80-R:P2', 'P2'), ('T3-Q70-U120-R:P2', 'P2'), ('T4-Q40-U80-R:P2', 'P2'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q100-U59-R:', 'P2'), ('T7-Q1-U1-R:', 'P2'), ('T8-Q100-U66-R:', 'P1'), ('T9-Q100-U50-R:', 'P2')]"
local,4,1,1442 ,False,True,True,1.0000481605529785,1.0,1.0,1.0,1.0,0.40499999999999997,0.105,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q100-U59-R:', 'P3'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q100-U66-R:', 'P3'), ('T13-Q100-U50-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T2-Q100-U200-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P1'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q50-U41-R:', 'P3'), ('T7-Q10-U25-R:', 'P3'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,5,2,1442 ,False,True,True,2.000049114227295,1.0,1.0,1.0,1.0,0.378,0.075,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q100-U59-R:', 'P3'), ('T12-Q1-U1-R:', 'P1'), ('T13-Q50-U41-R:', 'P3'), ('T14-Q65-U39-R:', 'P1'), ('T15-Q1-U16-R:P2', 'P2'), ('T2-Q90-U160-R:P3', 'P3'), ('T3-Q40-U80-R:P3', 'P3'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q100-U59-R:', 'P2'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q50-U41-R:', 'P3'), ('T8-Q65-U39-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,6,3,1442 ,False,True,False,3.0000529289245605,1.0,1.0,0.9375,1.0,0.241875,0.06166666666666667,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q70-U39-R:', 'P3'), ('T13-Q1-U1-R:', 'P3'), ('T14-Q20-U19-R:', 'P3'), ('T15-Q10-U25-R:', 'P3'), ('T16-Q1-U16-R:P2', 'P2'), ('T2-Q40-U80-R:P3', 'P3'), ('T3-Q40-U80-R:P3', 'P2'), ('T4-Q100-U200-R:P3', 'P3'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q70-U39-R:', 'P1'), ('T7-Q1-U1-R:', 'P1'), ('T8-Q20-U19-R:', 'P1'), ('T9-Q10-U25-R:', 'P1')]"
local,7,14,1442 ,False,True,True,14.000057935714722,1.0,1.0,1.0,1.0,0.3775,0.2,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q100-U66-R:', 'P2'), ('T13-Q65-U39-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q20-U17-R:', 'P2'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P4'), ('T19-Q100-U50-R:', 'P3'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,8,568,1442 ,False,True,True,568.0000789165497,1.0,1.0,1.0,1.0,0.37857142857142856,0.06142857142857143,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P2'), ('T11-Q70-U39-R:', 'P4'), ('T12-Q1-U1-R:', 'P2'), ('T13-Q20-U19-R:', 'P3'), ('T14-Q65-U39-R:', 'P2'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P2'), ('T17-Q100-U59-R:', 'P4'), ('T18-Q1-U1-R:', 'P4'), ('T19-Q100-U66-R:', 'P1'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q100-U50-R:', 'P4'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q70-U39-R:', 'P2'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q50-U41-R:', 'P4'), ('T8-Q100-U50-R:', 'P3'), ('T9-Q1-U16-R:P1', 'P1')]"
local,9,1000,1442 ,False,True,True,1000.0000591278076,1.0,1.0,1.0,1.0,0.29318181818181815,0.10571428571428572,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q70-U39-R:', 'P3'), ('T13-Q1-U1-R:', 'P2'), ('T14-Q20-U19-R:', 'P3'), ('T15-Q65-U39-R:', 'P2'), ('T16-Q1-U16-R:P2', 'P2'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q20-U17-R:', 'P2'), ('T19-Q1-U1-R:', 'P1'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q20-U19-R:', 'P3'), ('T21-Q100-U50-R:', 'P1'), ('T22-Q1-U16-R:P3', 'P3'), ('T3-Q70-U120-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q70-U39-R:', 'P4'), ('T7-Q1-U1-R:', 'P4'), ('T8-Q20-U19-R:', 'P4'), ('T9-Q100-U50-R:', 'P4')]"
local,10,1000,1442 ,False,True,False,1000.0000598430634,1.0,1.0,0.8695652173913043,1.0,0.2891304347826087,0.012857142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q65-U39-R:', 'P4'), ('T11-Q1-U16-R:P1', 'P1'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q20-U17-R:', 'P4'), ('T14-Q1-U1-R:', 'P4'), ('T15-Q20-U19-R:', 'P4'), ('T16-Q65-U39-R:', 'P4'), ('T17-Q1-U16-R:P2', 'P2'), ('T18-Q1-U1-R:', 'P4'), ('T19-Q70-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U1-R:', 'P4'), ('T21-Q100-U66-R:', 'P2'), ('T22-Q65-U39-R:', 'P4'), ('T23-Q1-U16-R:P3', 'P2'), ('T3-Q40-U80-R:P4', 'P3'), ('T4-Q40-U80-R:P4', 'P1'), ('T5-Q40-U80-R:P4', 'P4'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q70-U39-R:', 'P4'), ('T8-Q1-U1-R:', 'P4'), ('T9-Q20-U19-R:', 'P3')]"
