method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
local,1,1,1234,False,True,True,1.0000720024108887,1.0,1.0,1.0,1.0,0.5049999999999999,0.212,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q100-U200-R:P2', 'P2'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P1'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q100-U66-R:', 'P2'), ('T7-Q100-U50-R:', 'P2'), ('T8-Q1-U16-R:P1', 'P1')]"
local,2,1,1234,False,True,True,1.0000500679016113,1.0,1.0,1.0,1.0,0.45999999999999996,0.102,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q90-U160-R:P2', 'P2'), ('T3-Q70-U120-R:P2', 'P2'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q100-U59-R:', 'P2'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q50-U41-R:', 'P2'), ('T8-Q100-U50-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,3,1,1234,False,True,True,1.0000460147857666,1.0,1.0,1.0,1.0,0.394,0.066,"[('T1-Q1-U1-R:P2', 'P2'), ('T10-Q1-U16-R:P1', 'P1'), ('T2-Q40-U80-R:P2', 'P2'), ('T3-Q90-U160-R:P2', 'P2'), ('T4-Q40-U80-R:P2', 'P2'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q100-U59-R:', 'P2'), ('T7-Q1-U1-R:', 'P1'), ('T8-Q20-U19-R:', 'P1'), ('T9-Q100-U50-R:', 'P1')]"
local,4,1,1234,False,True,True,1.0000519752502441,1.0,1.0,1.0,1.0,0.38357142857142856,0.23666666666666666,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q100-U59-R:', 'P1'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q100-U66-R:', 'P3'), ('T13-Q100-U50-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T2-Q90-U160-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q20-U17-R:', 'P1'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q20-U19-R:', 'P3'), ('T7-Q100-U50-R:', 'P3'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,5,2,1234,False,True,True,2.000046968460083,1.0,1.0,1.0,1.0,0.4013333333333334,0.115,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P2'), ('T13-Q50-U41-R:', 'P2'), ('T14-Q65-U39-R:', 'P2'), ('T15-Q1-U16-R:P2', 'P2'), ('T2-Q40-U80-R:P3', 'P3'), ('T3-Q70-U120-R:P3', 'P3'), ('T4-Q1-U1-R:', 'P2'), ('T5-Q100-U59-R:', 'P3'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q100-U66-R:', 'P3'), ('T8-Q100-U50-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,6,3,1234,False,True,False,3.000058174133301,1.0,1.0,0.9375,1.0,0.24812499999999998,0.06166666666666667,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U16-R:P1', 'P3'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q20-U17-R:', 'P1'), ('T13-Q1-U1-R:', 'P1'), ('T14-Q20-U19-R:', 'P2'), ('T15-Q10-U25-R:', 'P1'), ('T16-Q1-U16-R:P2', 'P2'), ('T2-Q70-U120-R:P3', 'P3'), ('T3-Q70-U120-R:P3', 'P3'), ('T4-Q70-U120-R:P3', 'P3'), ('T5-Q1-U1-R:', 'P1'), ('T6-Q70-U39-R:', 'P2'), ('T7-Q1-U1-R:', 'P2'), ('T8-Q50-U41-R:', 'P1'), ('T9-Q10-U25-R:', 'P2')]"
local,7,14,1234,False,True,True,14.000060081481934,1.0,1.0,1.0,1.0,0.3749999999999999,0.1657142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q100-U59-R:', 'P3'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q20-U19-R:', 'P3'), ('T19-Q65-U39-R:', 'P2'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P4'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P2'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,8,568,1234,False,True,True,568.0000560283661,1.0,1.0,1.0,1.0,0.369047619047619,0.06142857142857143,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P3'), ('T11-Q70-U39-R:', 'P4'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q50-U41-R:', 'P3'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P2'), ('T17-Q100-U59-R:', 'P2'), ('T18-Q1-U1-R:', 'P3'), ('T19-Q100-U66-R:', 'P4'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P3'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P3'), ('T5-Q20-U17-R:', 'P2'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q50-U41-R:', 'P4'), ('T8-Q100-U50-R:', 'P1'), ('T9-Q1-U16-R:P1', 'P1')]"
local,9,1000,1234,False,True,False,1000.0000579357147,1.0,1.0,0.9545454545454546,1.0,0.3090909090909091,0.055714285714285716,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q70-U39-R:', 'P3'), ('T13-Q1-U1-R:', 'P4'), ('T14-Q50-U41-R:', 'P4'), ('T15-Q10-U25-R:', 'P4'), ('T16-Q1-U16-R:P2', 'P2'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q70-U39-R:', 'P4'), ('T19-Q1-U1-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q100-U66-R:', 'P1'), ('T21-Q65-U39-R:', 'P2'), ('T22-Q1-U16-R:P3', 'P4'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q100-U59-R:', 'P3'), ('T7-Q1-U1-R:', 'P2'), ('T8-Q20-U19-R:', 'P4'), ('T9-Q65-U39-R:', 'P2')]"
local,10,1000,1234,False,True,False,1000.0000581741333,0.985625,1.0,0.9130434782608695,0.7391304347826086,0.258695652173913,0.0,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q65-U39-R:', 'P4'), ('T11-Q1-U16-R:P1', 'P1'), ('T12-Q1-U1-R:', 'P2'), ('T13-Q100-U59-R:', 'P4'), ('T14-Q1-U1-R:', 'P2'), ('T15-Q100-U66-R:', 'P2'), ('T16-Q10-U25-R:', 'P4'), ('T17-Q1-U16-R:P2', 'P2'), ('T18-Q1-U1-R:', 'P3'), ('T19-Q20-U17-R:', 'P1'), ('T2-Q40-U80-R:P4', 'P3'), ('T20-Q1-U1-R:', 'P3'), ('T21-Q20-U19-R:', 'P4'), ('T22-Q10-U25-R:', 'P1'), ('T23-Q1-U16-R:P3', 'P2'), ('T3-Q70-U120-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q40-U80-R:P4', 'P4'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q20-U17-R:', 'P3'), ('T8-Q1-U1-R:', 'P1'), ('T9-Q50-U41-R:', 'P1')]"
