method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
minizinc,1,10,,True,True,True,0.2464001178741455,1.0,1.0,1.0,1.0,0.5049999999999999,0.212,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q100-U200-R:P2', 'P2'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P2'), ('T5-Q1-U1-R:', 'P1'), ('T6-Q100-U66-R:', 'P2'), ('T7-Q100-U50-R:', 'P1'), ('T8-Q1-U16-R:P1', 'P1')]"
minizinc,2,10,,True,True,True,0.3484659194946289,1.0,1.0,1.0,1.0,0.5155555555555554,0.052,"[('T1-Q1-U1-R:P2', 'P2'), ('T2-Q70-U120-R:P2', 'P2'), ('T3-Q90-U160-R:P2', 'P2'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q100-U59-R:', 'P2'), ('T6-Q1-U1-R:', 'P2'), ('T7-Q100-U66-R:', 'P1'), ('T8-Q100-U50-R:', 'P2'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,3,10,,True,True,True,0.3533189296722412,1.0,1.0,1.0,1.0,0.4539999999999999,0.052,"[('T1-Q1-U1-R:P2', 'P2'), ('T10-Q1-U16-R:P1', 'P1'), ('T2-Q40-U80-R:P2', 'P2'), ('T3-Q70-U120-R:P2', 'P2'), ('T4-Q40-U80-R:P2', 'P2'), ('T5-Q1-U1-R:', 'P1'), ('T6-Q100-U59-R:', 'P2'), ('T7-Q1-U1-R:', 'P2'), ('T8-Q100-U66-R:', 'P1'), ('T9-Q100-U50-R:', 'P2')]"
minizinc,4,10,,True,True,True,1.1186280250549316,1.0,1.0,1.0,1.0,0.4978571428571428,0.08833333333333333,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q100-U59-R:', 'P3'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q100-U66-R:', 'P2'), ('T13-Q100-U50-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T2-Q90-U160-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P3'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q100-U66-R:', 'P3'), ('T7-Q100-U50-R:', 'P3'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P1')]"
minizinc,5,10,,True,True,True,2.114212989807129,1.0,1.0,1.0,1.0,0.45799999999999996,0.08833333333333333,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q100-U59-R:', 'P3'), ('T12-Q1-U1-R:', 'P1'), ('T13-Q100-U66-R:', 'P2'), ('T14-Q100-U50-R:', 'P1'), ('T15-Q1-U16-R:P2', 'P2'), ('T2-Q40-U80-R:P3', 'P3'), ('T3-Q40-U80-R:P3', 'P3'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q100-U59-R:', 'P3'), ('T6-Q1-U1-R:', 'P3'), ('T7-Q100-U66-R:', 'P3'), ('T8-Q100-U50-R:', 'P3'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,6,100,,True,True,True,3.3203461170196533,1.0,1.0,1.0,1.0,0.39499999999999996,0.04,"[('T1-Q1-U1-R:P3', 'P3'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q70-U39-R:', 'P3'), ('T13-Q1-U1-R:', 'P1'), ('T14-Q100-U66-R:', 'P3'), ('T15-Q65-U39-R:', 'P1'), ('T16-Q1-U16-R:P2', 'P2'), ('T2-Q40-U80-R:P3', 'P3'), ('T3-Q40-U80-R:P3', 'P3'), ('T4-Q40-U80-R:P3', 'P3'), ('T5-Q1-U1-R:', 'P1'), ('T6-Q70-U39-R:', 'P1'), ('T7-Q1-U1-R:', 'P3'), ('T8-Q100-U66-R:', 'P2'), ('T9-Q100-U50-R:', 'P3')]"
minizinc,7,1000,,True,True,True,14.05328893661499,1.0,1.0,1.0,1.0,0.45999999999999996,0.08571428571428572,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q100-U66-R:', 'P2'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P1'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q100-U66-R:', 'P4'), ('T19-Q100-U50-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q100-U66-R:', 'P3'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P1')]"
minizinc,8,1000,,True,True,True,577.620728969574,1.0,1.0,1.0,1.0,0.41190476190476183,0.04428571428571428,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U1-R:', 'P1'), ('T11-Q70-U39-R:', 'P3'), ('T12-Q1-U1-R:', 'P4'), ('T13-Q100-U66-R:', 'P4'), ('T14-Q100-U50-R:', 'P4'), ('T15-Q1-U16-R:P2', 'P2'), ('T16-Q1-U1-R:', 'P1'), ('T17-Q70-U39-R:', 'P1'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q100-U66-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q65-U39-R:', 'P1'), ('T21-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q1-U1-R:', 'P1'), ('T5-Q70-U39-R:', 'P3'), ('T6-Q1-U1-R:', 'P4'), ('T7-Q100-U66-R:', 'P4'), ('T8-Q100-U50-R:', 'P4'), ('T9-Q1-U16-R:P1', 'P1')]"
minizinc,9,1000,,False,True,True,1000.0275769233704,1.0,1.0,1.0,1.0,0.35909090909090907,0.008571428571428572,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q1-U16-R:P1', 'P1'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q20-U17-R:', 'P2'), ('T13-Q1-U1-R:', 'P4'), ('T14-Q100-U66-R:', 'P2'), ('T15-Q100-U50-R:', 'P4'), ('T16-Q1-U16-R:P2', 'P2'), ('T17-Q1-U1-R:', 'P1'), ('T18-Q20-U17-R:', 'P1'), ('T19-Q1-U1-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q100-U66-R:', 'P1'), ('T21-Q100-U50-R:', 'P4'), ('T22-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q1-U1-R:', 'P3'), ('T6-Q20-U17-R:', 'P3'), ('T7-Q1-U1-R:', 'P4'), ('T8-Q100-U66-R:', 'P3'), ('T9-Q100-U50-R:', 'P4')]"
minizinc,10,1000,,False,True,True,1000.0301911830902,1.0,1.0,1.0,1.0,0.29130434782608694,0.032857142857142856,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U50-R:', 'P4'), ('T11-Q1-U16-R:P1', 'P1'), ('T12-Q1-U1-R:', 'P1'), ('T13-Q70-U39-R:', 'P3'), ('T14-Q1-U1-R:', 'P1'), ('T15-Q20-U19-R:', 'P2'), ('T16-Q65-U39-R:', 'P1'), ('T17-Q1-U16-R:P2', 'P2'), ('T18-Q1-U1-R:', 'P1'), ('T19-Q70-U39-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U1-R:', 'P1'), ('T21-Q20-U19-R:', 'P2'), ('T22-Q65-U39-R:', 'P1'), ('T23-Q1-U16-R:P3', 'P3'), ('T3-Q40-U80-R:P4', 'P4'), ('T4-Q40-U80-R:P4', 'P4'), ('T5-Q40-U80-R:P4', 'P4'), ('T6-Q1-U1-R:', 'P1'), ('T7-Q70-U39-R:', 'P3'), ('T8-Q1-U1-R:', 'P4'), ('T9-Q20-U19-R:', 'P4')]"
