method,problem,timeout,seed,known_optimal,all_assigned,feasible,time,utilisation,bandwidth,residency,coresidency,qos,freecycles,solution
local,7,3,-895880116,False,True,False,3.004770040512085,1.0,1.0,0.95,1.0,0.31749999999999995,0.2642857142857143,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P1'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q100-U66-R:', 'P3'), ('T13-Q10-U25-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P3'), ('T15-Q1-U1-R:', 'P1'), ('T16-Q100-U59-R:', 'P2'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q100-U66-R:', 'P4'), ('T19-Q65-U39-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q70-U39-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,6,816384191,False,True,True,6.00442099571228,1.0,1.0,1.0,1.0,0.36749999999999994,0.18285714285714286,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P3'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q50-U41-R:', 'P2'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q70-U39-R:', 'P2'), ('T17-Q1-U1-R:', 'P1'), ('T18-Q20-U19-R:', 'P3'), ('T19-Q100-U50-R:', 'P1'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,9,-655033742,False,True,True,9.004437923431396,1.0,1.0,1.0,1.0,0.3449999999999999,0.2557142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P3'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q20-U19-R:', 'P2'), ('T13-Q100-U50-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P3'), ('T16-Q20-U17-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q50-U41-R:', 'P4'), ('T19-Q100-U50-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P4'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,12,-584969165,False,True,True,11.99979305267334,1.0,1.0,1.0,1.0,0.39249999999999996,0.05714285714285714,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P4'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q65-U39-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q70-U39-R:', 'P3'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q20-U19-R:', 'P2'), ('T19-Q100-U50-R:', 'P4'), ('T2-Q100-U200-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q100-U59-R:', 'P2'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q100-U66-R:', 'P1'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,15,635712567,False,True,True,15.003947973251343,1.0,1.0,1.0,1.0,0.365,0.1657142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P4'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q100-U66-R:', 'P1'), ('T13-Q100-U50-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q20-U19-R:', 'P2'), ('T19-Q100-U50-R:', 'P3'), ('T2-Q90-U160-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q20-U17-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,18,-747382723,False,True,True,18.003849983215332,1.0,1.0,1.0,1.0,0.41,0.12428571428571429,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P2'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q100-U50-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q100-U50-R:', 'P2'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,21,33834183,False,True,True,21.001209020614624,1.0,1.0,1.0,1.0,0.40749999999999986,0.11571428571428571,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P4'), ('T11-Q1-U1-R:', 'P3'), ('T12-Q50-U41-R:', 'P4'), ('T13-Q100-U50-R:', 'P3'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P1'), ('T18-Q50-U41-R:', 'P1'), ('T19-Q65-U39-R:', 'P1'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P2'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q100-U66-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,24,-561855366,False,True,True,23.999834060668945,1.0,1.0,1.0,1.0,0.4149999999999999,0.12428571428571429,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P3'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q100-U66-R:', 'P1'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q100-U66-R:', 'P4'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P2'), ('T6-Q50-U41-R:', 'P2'), ('T7-Q65-U39-R:', 'P2'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,27,82554728,False,True,True,27.00031304359436,1.0,1.0,1.0,1.0,0.39999999999999997,0.15285714285714286,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P4'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q65-U39-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P1'), ('T16-Q100-U59-R:', 'P1'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q100-U66-R:', 'P3'), ('T19-Q100-U50-R:', 'P2'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P1'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P4')]"
local,7,30,924990719,False,True,True,29.998605966567993,1.0,1.0,1.0,1.0,0.37999999999999995,0.1357142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P4'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q50-U41-R:', 'P3'), ('T13-Q100-U50-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P2'), ('T17-Q1-U1-R:', 'P3'), ('T18-Q100-U66-R:', 'P4'), ('T19-Q10-U25-R:', 'P3'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
local,7,3,599508542,False,True,True,3.0049262046813965,1.0,1.0,1.0,1.0,0.27749999999999997,0.32857142857142857,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q20-U17-R:', 'P2'), ('T11-Q1-U1-R:', 'P1'), ('T12-Q50-U41-R:', 'P4'), ('T13-Q10-U25-R:', 'P1'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q70-U39-R:', 'P4'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q100-U66-R:', 'P2'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q70-U39-R:', 'P1'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,6,-731064254,False,True,True,6.002054929733276,1.0,1.0,1.0,1.0,0.36749999999999994,0.21142857142857144,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q100-U59-R:', 'P2'), ('T11-Q1-U1-R:', 'P4'), ('T12-Q20-U19-R:', 'P3'), ('T13-Q100-U50-R:', 'P4'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P4'), ('T16-Q100-U59-R:', 'P1'), ('T17-Q1-U1-R:', 'P4'), ('T18-Q50-U41-R:', 'P4'), ('T19-Q65-U39-R:', 'P4'), ('T2-Q40-U80-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P3'), ('T4-Q100-U59-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q50-U41-R:', 'P3'), ('T7-Q100-U50-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P3')]"
local,7,9,662957564,False,True,True,9.00444507598877,1.0,1.0,1.0,1.0,0.3424999999999999,0.20285714285714285,"[('T1-Q1-U1-R:P4', 'P4'), ('T10-Q70-U39-R:', 'P3'), ('T11-Q1-U1-R:', 'P2'), ('T12-Q100-U66-R:', 'P4'), ('T13-Q65-U39-R:', 'P2'), ('T14-Q1-U16-R:P2', 'P2'), ('T15-Q1-U1-R:', 'P2'), ('T16-Q100-U59-R:', 'P4'), ('T17-Q1-U1-R:', 'P2'), ('T18-Q100-U66-R:', 'P1'), ('T19-Q65-U39-R:', 'P2'), ('T2-Q70-U120-R:P4', 'P4'), ('T20-Q1-U16-R:P3', 'P3'), ('T3-Q1-U1-R:', 'P2'), ('T4-Q20-U17-R:', 'P4'), ('T5-Q1-U1-R:', 'P4'), ('T6-Q20-U19-R:', 'P4'), ('T7-Q65-U39-R:', 'P4'), ('T8-Q1-U16-R:P1', 'P1'), ('T9-Q1-U1-R:', 'P2')]"
